name,repeat
stack-edu_code,0.5
dclm-dolmino_en,.2
open-code-reasoning_en,1
stack-math-qa-1600k_en,1
culturax_fr,.2
fineweb2_fr,.2
hplt2_fr,.2
finemath-filtered_3plus_math,1
infiwebmath-filtered_3plus_math,1
wikimedia-vikidia_ar,1
wikimedia-vikidia_ca,0.5
wikimedia-vikidia_de,1
wikimedia-vikidia_en,1
wikimedia-vikidia_es,1
wikimedia-vikidia_fr,1
wikimedia-vikidia_it,1
wikimedia_nl,1
wikimedia-vikidia_pt,1
wikimedia-vikidia_regional,1
fineweb2_ar,0.05
fineweb2_ca,0.01
fineweb2_de,0.05
fineweb2_es,0.05
fineweb2_it,0.05
fineweb2_nl,0.05
fineweb2_pt,0.05
fineweb2_regional,1
nemotron-posttraining-math_math,1
nemotron-posttraining-code_code,1
nemotron-posttraining-de-think_de,1
nemotron-posttraining-de_de,0
nemotron-posttraining-chat_en,1
nemotron-posttraining-stem_en,1
nemotron-posttraining-es-think_es,1
nemotron-posttraining-es_es,0
nemotron-posttraining-fr-think_fr,1
nemotron-posttraining-fr_fr,0
nemotron-posttraining-it-think_it,1
nemotron-posttraining-it_it,0
common-pile_data-provenance-initiative_en,1
