language,doc_count,word_count,char_count
eng_Latn,1110155,860088996,5303003217
fra_Latn,1693255,859019940,5324300441
deu_Latn,404798,182320454,1296035454
ita_Latn,358557,174597343,1125943403
nld_Latn,410619,174322380,1097217725
por_Latn,375502,181228378,1115230499
spa_Latn,358203,188089300,1143408827
eus_Latn,45106,16323645,127311825
acf_Latn,1052,418687,2180406
gcf_Latn,1027,399464,2035907
pcd_Latn,1191,306085,1718225
rcf_Latn,1716,444160,2114411
tah_Latn,393,440298,1994161
oci_Latn,1026,475134,2841659
bre_Latn,1070,385883,2100167
cos_Latn,737,463969,2730204
crs_Latn,89,299351,1585235
cat_Latn,971,388032,2342504
gcr_Latn,6,840,4905
code,1530382,572407929,5816523762
arb_Arab,1992755,956427964,5635118181
